periodo,mes,anio,region,formato_tienda,categoria,inventario_inicial_unidades,reabastecimiento_unidades,demanda_unidades,inventario_final_unidades,disponibilidad_pct,quiebre_inventario,quiebre_pct,dias_inventario_estimado,rotacion_inventario,fuente_base,nota_metodologica
2024-01,Enero,2024,Bogota y Cundinamarca,Mayorista,Tecnologia,173,88,133,128,0.72,0,0.28,33.9,99022.89,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Hipermercado,Electrodomesticos,95,62,82,75,0.72,0,0.28,31.1,127433.35,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Supermercado,Electrodomesticos,126,62,95,93,0.72,0,0.28,34.6,46504.37,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Premium,Electrodomesticos,105,63,82,86,0.7239,0,0.2761,34.9,62416.98,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Mayorista,Electrodomesticos,97,57,73,81,0.735,0,0.265,36.6,21134.83,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Hipermercado,Moda,99,45,71,73,0.72,0,0.28,36.3,23167.39,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Supermercado,Moda,104,56,83,77,0.72,0,0.28,32.7,28139.31,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Premium,Moda,97,54,84,67,0.72,0,0.28,29.3,27907.67,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Mayorista,Moda,122,55,86,91,0.7257,0,0.2743,37.2,37983.58,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Hipermercado,Salud y bienestar,95,43,86,52,0.72,0,0.28,25.6,43996.22,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Supermercado,Salud y bienestar,83,50,63,70,0.7353,0,0.2647,36.4,13382.43,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Premium,Salud y bienestar,81,49,66,64,0.72,0,0.28,33.0,41863.58,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Mayorista,Salud y bienestar,101,49,71,79,0.7356,0,0.2644,38.0,21071.47,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Mercado y alimentos,283,103,222,164,0.72,0,0.28,30.2,17401.39,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Mercado y alimentos,363,143,251,255,0.72,0,0.28,36.9,23957.36,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Mercado y alimentos,332,205,300,237,0.72,0,0.28,28.4,14500.64,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Mercado y alimentos,438,167,312,293,0.72,0,0.28,35.1,35415.63,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Frescos,119,64,109,74,0.72,0,0.28,26.6,48948.74,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Frescos,134,71,105,100,0.72,0,0.28,33.4,39855.44,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Frescos,152,90,123,119,0.72,0,0.28,33.0,30686.96,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Frescos,152,77,122,107,0.72,0,0.28,31.8,26564.4,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Aseo y cuidado personal,138,57,99,96,0.72,0,0.28,35.5,34517.34,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Aseo y cuidado personal,132,59,109,82,0.72,0,0.28,29.4,26724.66,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Aseo y cuidado personal,147,83,103,127,0.7551,0,0.2449,39.9,28939.89,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Aseo y cuidado personal,150,79,108,121,0.7369,0,0.2631,37.6,25977.24,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Hogar,117,59,88,88,0.72,0,0.28,34.9,14128.2,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Hogar,90,55,80,65,0.72,0,0.28,29.1,33823.79,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Hogar,79,32,62,49,0.72,0,0.28,31.0,28219.77,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Hogar,101,75,92,84,0.72,0,0.28,30.2,18370.92,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Tecnologia,75,30,55,50,0.72,0,0.28,34.1,114878.52,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Tecnologia,100,63,82,81,0.72,0,0.28,33.1,103248.97,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Tecnologia,71,53,67,57,0.72,0,0.28,28.7,16653.92,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Tecnologia,82,53,68,67,0.72,0,0.28,32.9,59621.17,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Electrodomesticos,52,23,48,27,0.72,0,0.28,24.7,48911.64,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Electrodomesticos,53,22,46,29,0.72,0,0.28,26.7,71290.38,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Electrodomesticos,58,36,52,42,0.72,0,0.28,28.8,69314.79,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Electrodomesticos,46,26,43,29,0.72,0,0.28,26.2,75412.79,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Moda,61,31,52,40,0.72,0,0.28,29.1,43040.24,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Moda,50,33,45,38,0.72,0,0.28,29.3,33849.25,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Moda,72,32,54,50,0.72,0,0.28,33.9,14290.46,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Moda,54,26,44,36,0.72,0,0.28,30.7,28776.17,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Hipermercado,Salud y bienestar,51,36,45,42,0.72,0,0.28,31.0,20990.08,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Supermercado,Salud y bienestar,73,30,56,47,0.72,0,0.28,32.1,29838.17,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Premium,Salud y bienestar,60,31,52,39,0.72,0,0.28,28.6,15779.32,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Mayorista,Salud y bienestar,55,41,49,47,0.72,0,0.28,31.2,24441.38,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Mercado y alimentos,293,142,215,220,0.72,0,0.28,35.8,22845.4,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Supermercado,Mercado y alimentos,257,94,209,142,0.72,0,0.28,28.6,30095.45,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Premium,Mercado y alimentos,236,170,203,203,0.72,0,0.28,32.4,11116.03,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Mayorista,Mercado y alimentos,262,145,211,196,0.72,0,0.28,32.6,38902.83,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Frescos,82,48,69,61,0.72,0,0.28,31.1,31909.59,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Supermercado,Frescos,77,54,73,58,0.72,0,0.28,27.7,34900.42,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Premium,Frescos,79,32,66,45,0.72,0,0.28,28.2,18125.95,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Mayorista,Frescos,85,46,74,57,0.72,0,0.28,28.8,35411.64,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Aseo y cuidado personal,95,58,81,72,0.72,0,0.28,30.9,23606.28,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Supermercado,Aseo y cuidado personal,81,37,60,58,0.72,0,0.28,34.8,18002.95,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Premium,Aseo y cuidado personal,97,51,82,66,0.72,0,0.28,29.8,33788.52,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Mayorista,Aseo y cuidado personal,70,37,53,54,0.72,0,0.28,35.1,10321.08,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Hogar,71,36,51,56,0.733,0,0.267,37.4,21583.74,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Supermercado,Hogar,81,46,61,66,0.7301,0,0.2699,36.1,26037.23,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Premium,Hogar,75,27,58,44,0.72,0,0.28,30.8,12783.5,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Mayorista,Hogar,77,42,59,60,0.72,0,0.28,34.8,21281.18,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Tecnologia,73,31,53,51,0.72,0,0.28,35.1,35704.35,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Supermercado,Tecnologia,69,23,52,40,0.72,0,0.28,31.4,85616.18,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Premium,Tecnologia,68,30,56,42,0.72,0,0.28,29.5,15601.93,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Mayorista,Tecnologia,59,24,42,41,0.72,0,0.28,35.7,22776.08,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Electrodomesticos,44,28,38,34,0.72,0,0.28,30.8,50038.53,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Supermercado,Electrodomesticos,43,20,36,27,0.72,0,0.28,29.2,168641.77,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Premium,Electrodomesticos,44,20,39,25,0.72,0,0.28,26.5,169507.27,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Mayorista,Electrodomesticos,47,23,34,36,0.7258,0,0.2742,36.6,77826.33,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Moda,48,25,37,36,0.72,0,0.28,34.1,32212.74,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Supermercado,Moda,39,18,37,20,0.72,0,0.28,23.9,17987.99,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Premium,Moda,40,17,32,25,0.72,0,0.28,30.5,30356.56,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Mayorista,Moda,46,29,41,34,0.72,0,0.28,29.3,48903.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Hipermercado,Salud y bienestar,41,18,33,26,0.72,0,0.28,30.5,31684.11,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
